MHC Restriction - Name,n_unique_epitopes
HLAA0201,74269
HLAB2705,58223
HLAB1502,35194
HLAB0702,29438
HLAB5701,24014
HLAA0101,21983
HLAA2402,19945
HLAB4001,17806
HLAB4002,17262
HLAB5101,16389
HLAB1501,15485
HLAA1101,15034
HLAC0501,13541
HLAB4402,12535
HLAA0301,12221
HLAB4403,9673
HLAB0801,8891
HLAA2902,8889
HLAB5801,8088
HLAA3303,7372
HLAB1801,7294
HLAA6802,6897
HLAB3501,6752
HLAC1203,6670
HLAA6801,6496
HLAC0401,6441
HLAC0802,6351
HLAB2709,6303
HLAA2301,6077
HLAA0202,5931
HLAA3201,5817
HLAC0602,5784
HLAC1402,5721
HLAB7,5509
HLAA3101,5431
HLAA0207,5352
HLAA0206,5142
HLAA3301,4869
HLAC1502,4861
HLAC0303,4608
HLAB1302,4568
HLAA0205,4535
HLAB3801,4526
HLAB1510,4446
HLAA2601,4386
HLAB1503,4286
HLAB2701,4200
HLAA3001,4153
HLAA3002,4146
HLAA0204,4036
HLAB4201,3820
HLAB5301,3679
HLAA2,3674
HLAB2702,3490
HLAC0702,3137
HLAA6601,3114
HLAA1102,3106
HLAA2501,3092
HLAB4601,3056
HLAA24,2956
HLAB3503,2924
HLAC0102,2866
HLAB1402,2783
HLAB4501,2723
HLAC0701,2697
HLAB1517,2664
HLAA0211,2656
HLAB3901,2419
HLAB3701,2202
HLAC0801,2181
HLAB5401,2058
HLAB5501,1926
HLAB5201,1828
HLAB27,1740
HLAB40,1635
HLAB2704,1424
HLAA3,1401
HLAB2706,1353
HLAB39,1268
HLAB5802,1226
HLAB2703,1103
HLAA6901,1081
HLAB3508,865
HLAB44,600
HLAA0217,525
HLAB51,459
HLAA26,416
HLAB1542,355
HLAB4506,352
HLAA2403,346
HLAB8301,323
HLAB7301,225
HLAA1,209
HLAB8,197
HLAA0212,195
HLAA8001,172
HLAA2602,170
HLAB4801,117
HLAA0219,117
HLAA0216,102
HLACw4,89
HLAA0250,88
HLAA3207,88
HLAB2720,87
HLAB1509,87
HLAA6823,80
HLAA3215,73
HLAB4013,56
HLAA2603,54
HLAB0802,34
HLAB3906,31
HLAA0319,29
HLAB62,26
HLAB3909,24
HLAB0803,14
HLAB2710,12
HLAA6812,11
HLACw1,8
HLAB60,6
HLAC0803,3
