train_size,mean,ci_lower,ci_upper,n_bootstrap,group_label
250,0.2841910811220353,0.16554645951673463,0.4024884193896042,100,PT H 30L
750,0.39746208136664934,0.3190536832442174,0.4597507046200082,100,PT H 30L
1500,0.4633073765792075,0.3988530913239327,0.5204215978807243,100,PT H 30L
3000,0.5241416271890202,0.45364567209676065,0.5853675260723316,100,PT H 30L
5000,0.5656073443161339,0.4877205418419547,0.6379243891362566,100,PT H 30L
250,0.46270755116270434,0.40022527221597953,0.5293752706530037,100,PT E 30L
750,0.5049006008571151,0.4470514844214997,0.5553853984457715,100,PT E 30L
1500,0.5303054896218607,0.4772754042850454,0.5801670874527385,100,PT E 30L
3000,0.5547299559035743,0.5068584991644018,0.6049919831748456,100,PT E 30L
5000,0.572093236883847,0.523038552956486,0.6241486837037531,100,PT E 30L
250,0.38670115516698644,0.2994815986561195,0.5112102468793234,100,Non-PT H 30L
750,0.4584737809293236,0.3954396406445477,0.5309371587890387,100,Non-PT H 30L
1500,0.5008421041305544,0.44457963045629434,0.5560708952565812,100,Non-PT H 30L
3000,0.5407853267207702,0.4878886118689612,0.5927310918844878,100,Non-PT H 30L
5000,0.5686285768759817,0.5166339515878177,0.621728418646554,100,Non-PT H 30L
250,0.1603980530723472,0.0857756945802968,0.22457380150178552,100,PT E 0L
750,0.23416285890368166,0.18676396266422726,0.2870253041085546,100,PT E 0L
1500,0.27944177533047077,0.2313166038763088,0.3241650624190306,100,PT E 0L
3000,0.323477517730913,0.2673594632619341,0.3690149548747363,100,PT E 0L
5000,0.3550283881745899,0.2900395943457913,0.4023026261133662,100,PT E 0L
250,0.17553379068375474,0.060764055818320464,0.3011113591895007,100,Non-PT H 0L
750,0.18599694801787922,0.09416584070669155,0.2902005709764592,100,Non-PT H 0L
1500,0.1925527426622259,0.11114923771826511,0.28632998766012224,100,Non-PT H 0L
3000,0.19906415516293482,0.11720791089775909,0.28573940108883916,100,Non-PT H 0L
5000,0.20383126826233325,0.1215553679310972,0.28432350126128253,100,Non-PT H 0L
250,0.37519403641718907,0.3131947166687163,0.4382460520909459,100,Non-PT E 30L
750,0.44819737956508343,0.3947085787088636,0.5050129240556404,100,Non-PT E 30L
1500,0.4914068102161299,0.4368674640568616,0.5439507971647448,100,Non-PT E 30L
3000,0.5322528112553275,0.4749677505633062,0.5854908524662497,100,Non-PT E 30L
5000,0.5608021174581078,0.5017904799711024,0.6160607206792096,100,Non-PT E 30L
250,0.18486577609119728,0.08286471555307613,0.2700650497525401,100,Non-PT E 0L
750,0.2402571937409542,0.1910850560907769,0.2836096794754416,100,Non-PT E 0L
1500,0.2743160470947617,0.22675380559068734,0.33150328138054264,100,Non-PT E 0L
3000,0.3074857372049758,0.25216972105630925,0.38315314689549773,100,Non-PT E 0L
5000,0.3312836170637643,0.26194493059847895,0.42148427431169505,100,Non-PT E 0L
250,-0.0688319354766669,-0.23867269732140753,0.0836429849953623,100,PT H 0L
750,0.039690997624764746,-0.049418306542775146,0.13028211046613322,100,PT H 0L
1500,0.10823714970104438,0.024075897038611713,0.18274985801914556,100,PT H 0L
3000,0.17563113901476146,0.08455020916074878,0.26077897345753265,100,PT H 0L
5000,0.22402440343562055,0.11229703737438747,0.3365194209181651,100,PT H 0L
