Allele,N,Stacking_RF_GB_MSE_Val,Stacking_RF_GB_MSE_Test,Stacking_RF_GB_R2_Test,Stacking_RF_GB_Spearman,Stacking_RF_GB_Pearson,Stacking_RF_ADA_MSE_Val,Stacking_RF_ADA_MSE_Test,Stacking_RF_ADA_R2_Test,Stacking_RF_ADA_Spearman,Stacking_RF_ADA_Pearson,Stacking_ALL_MSE_Val,Stacking_ALL_MSE_Test,Stacking_ALL_R2_Test,Stacking_ALL_Spearman,Stacking_ALL_Pearson
HLAB1801,11,7.05,1.877,-12.061,-1.0,-0.619,4.217,1.484,-9.326,-1.0,-0.668,5.147,1.785,-11.425,-1.0,-0.66
HLAB3801,11,0.1,0.402,0.65,1.0,0.969,0.071,0.374,0.674,1.0,0.949,0.1,0.4,0.652,1.0,0.969
HLAB1501,21,1.828,1.292,-2.277,0.6,0.446,0.73,1.121,-1.843,0.0,0.302,1.929,1.216,-2.084,0.6,0.552
HLAA1101,99,0.519,0.503,0.686,0.881,0.833,0.544,0.669,0.583,0.786,0.774,0.55,0.701,0.563,0.77,0.765
HLAB3906,11,0.1,0.584,-0.041,0.5,0.194,0.75,2.293,-3.089,-1.0,-0.987,0.001,0.147,0.737,1.0,0.89
HLAA6801,39,1.466,0.311,0.787,0.69,0.949,0.851,0.173,0.882,0.976,0.982,1.404,0.373,0.744,0.643,0.945
HLAA2601,15,1.12,0.418,0.782,1.0,0.971,0.661,1.099,0.427,1.0,0.966,1.825,3.321,-0.733,1.0,0.981
HLAB0702,107,2.678,1.249,0.59,0.632,0.785,2.611,1.117,0.633,0.715,0.811,2.69,1.292,0.576,0.642,0.778
HLAA0101,125,1.193,1.174,0.635,0.629,0.801,1.269,1.166,0.637,0.633,0.802,1.269,1.167,0.637,0.637,0.802
HLAB3901,11,1.849,0.964,-2.338,0.5,0.431,1.505,0.959,-2.321,0.5,0.292,1.808,0.963,-2.334,0.5,0.416
HLAA0301,211,1.611,2.091,0.177,0.427,0.445,1.666,2.035,0.2,0.459,0.462,1.654,2.043,0.196,0.447,0.46
HLAB2705,58,0.433,0.392,0.754,0.643,0.869,0.709,0.502,0.685,0.678,0.853,0.708,0.501,0.686,0.678,0.854
HLAA0201,464,1.849,1.946,0.105,0.309,0.401,1.704,1.928,0.113,0.34,0.431,1.71,1.907,0.123,0.339,0.438
HLAB0801,51,0.44,0.768,0.168,0.319,0.521,0.483,0.815,0.117,0.31,0.467,0.359,0.962,-0.043,0.087,0.301
HLAB4402,116,0.767,1.19,0.271,0.612,0.54,0.736,1.117,0.316,0.62,0.573,0.736,1.117,0.316,0.62,0.573
HLAA2402,130,1.42,2.946,-0.164,0.269,0.137,1.445,2.972,-0.174,0.251,0.137,1.413,2.964,-0.171,0.278,0.135
