A0201,B5701,B5101,C0401
46800,15878.0,12259.0,3306.0
3443,1862.0,214.0,79.0
26350,9725.0,6408.0,4432.0
34640,11007.0,5990.0,3095.0
24812,12512.0,5367.0,4708.0
32749,12849.0,6858.0,3458.0
14723,5444.0,3937.0,1344.0
37342,10881.0,11775.0,2605.0
28110,13255.0,6650.0,1897.0
102390,23887.0,14362.0,5400.0
12192,3934.0,2787.0,1118.0
19489,6262.0,4046.0,1819.0
31814,10038.0,16102.0,3194.0
24313,8376.0,4645.0,1480.0
19562,10658.0,5475.0,1563.0
38280,20968.0,8949.0,3278.0
30761,15494.0,7857.0,2786.0
56457,15395.0,15713.0,3982.0
5192,12151.0,883.0,579.0
3,0.0,0.0,0.0
19800,7108.0,5121.0,2819.0
