,HLA,Losses,encoding,data_prop,trained_blocks,lr_transformer,lr_regression,n_evaluations,spearman,pearsonr,mse,mae,r2,rmse,time,path,Model,rank_mse,rank_corr,rank_sum
5433,A3101,Hubber,HLA,0.95,30,,4,8,0.9761904761904763,0.9607054402107232,0.28815395219834283,0.4607686996459962,0.806094106198304,0.5367997319283448,2025-05-28 18:10:32,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.95_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__4_A3101_0404_Hubber_A3101.csv,A3101 HLA,2.0,1.0,3.0
5371,B0802,Hubber,epitope,0.6,30,0.0001,0.0001,8,0.95150257112482,0.9625788757649183,0.16918730737428694,0.38904088735580455,0.7474355792150438,0.41132384732019484,2025-05-28 21:51:23,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.6_30_ESMMASK_epitope_FT_15_0.0001_5e-05_AUG_4_B0802_2_0.0001_0.0001__8_B0802_0404_Hubber_B0802.csv,B0802 epitope,4.0,1.0,5.0
35,B4801,Hubber,epitope,0.6,30,0.0001,0.0001,19,0.9433133159039592,0.9491746327169057,0.33035048716013043,0.5136896058132775,0.7902872149488627,0.5747612436134942,2025-05-28 22:32:54,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.6_30_ESMMASK_epitope_FT_25_0.0001_5e-05_AUG_3_B4801_1_0.0001_0.0001__7_B4801_0404_Hubber_B4801.csv,B4801 epitope,4.0,1.0,5.0
3250,B1402,Hubber,epitope,0.95,30,,5,6,0.942857142857143,0.6942252612527635,0.971400573748575,0.9655295014381409,-13.916207392551238,0.9855965572933861,2025-05-28 13:01:26,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.95_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__5_B1402_0404_Hubber_B1402.csv,B1402 epitope,12.0,1.5,13.5
760,B8301,Hubber,epitope,0.2,30,0.0001,0.0001,6,0.9411239481143202,0.8872806433656987,0.2255054844696455,0.32125476996103924,0.5537477522386981,0.47487417751405003,2025-05-28 10:01:22,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.2_30_ESMMASK_epitope_FT_20_0.0001_5e-05_AUG_4_B8301_2_0.0001_0.0001__2_B8301_0404_Hubber_B8301.csv,B8301 epitope,7.0,1.0,8.0
2556,B0802,Hubber,HLA,0.6,30,,2,8,0.9271050693011065,0.8116990311230068,0.2815839444731267,0.4043807983398437,0.4666583840275085,0.530644838355304,2025-05-29 03:12:39,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.6_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__2_B0802_0404_Hubber_B0802.csv,B0802 HLA,1.0,1.0,2.0
4247,A2501,Hubber,epitope,0.4,30,,4,11,0.9153240856757687,0.8872059775447745,0.5208138560187776,0.5396236831491644,0.7407367465275403,0.7216743420815082,2025-05-28 13:22:06,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.4_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__4_A2501_0404_Hubber_A2501.csv,A2501 epitope,2.0,1.0,3.0
3309,A2501,Hubber,HLA,0.4,30,0.0001,0.0001,11,0.908062460746855,0.7911964670797095,1.0912275649108756,0.7496255202726885,0.4894411767149611,1.0446183824300985,2025-05-28 20:02:32,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.4_30_ESMMASK_HLA_FT_15_0.0001_1e-05_AUG_1_A2501_2_0.0001_0.0001__8_A2501_0404_Hubber_A2501.csv,A2501 HLA,7.0,1.0,8.0
2737,C1203,Hubber,HLA,0.6,30,,2,7,0.8928571428571429,0.9351970695434568,0.4757250636101197,0.42503670283726297,-0.12791965858564303,0.6897282534521256,2025-05-29 05:39:20,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.6_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__2_C1203_0404_Hubber_C1203.csv,C1203 HLA,8.0,1.0,9.0
6082,A0202,Hubber,epitope,0.8,30,0.0001,0.0001,367,0.8914776670911925,0.8645162028160739,0.29775971433274495,0.34311471263337523,0.7377763265204375,0.5456736335326684,2025-05-28 20:49:03,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.8_30_ESMMASK_epitope_FT_25_0.0001_1e-06_AUG_4_A0202_1_0.0001_0.0001__7_A0202_0404_Hubber_A0202.csv,A0202 epitope,4.0,1.0,5.0
4472,A2403,Hubber,epitope,0.6,30,0.0001,0.0001,41,0.8819736441391978,0.8990061495561088,0.25390323627302414,0.35826477044966154,0.7934589688028904,0.5038881188051809,2025-05-28 10:40:53,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.6_30_ESMMASK_epitope_FT_20_0.0001_1e-05_AUG_3_A2403_2_0.0001_0.0001__2_A2403_0404_Hubber_A2403.csv,A2403 epitope,1.0,2.0,3.0
