HLA,group_label,training_data,n_reps,mean,std
A0101,Non-PT H 0L,758.0,3,-0.15377755127487,0.05100544484188977
A0101,Non-PT H 0L,1516.0,3,-0.11747894563140537,0.0036356247075085522
A0101,Non-PT H 0L,2274.0,3,-0.10931063629077686,0.030063662671988383
A0101,Non-PT H 0L,3600.5,3,-0.10735505930611433,0.05364602928946516
A0101,Non-PT H 30L,758.0,3,0.41675199804815394,0.19471922336649244
A0101,PT E 0L,758.0,4,-0.004969946933528299,0.08164944235333724
A0101,PT E 0L,1516.0,3,0.14807330716711536,0.02557163097427827
A0101,PT E 0L,2274.0,4,0.17152732761586478,0.05853279402399607
A0101,PT E 30L,758.0,4,0.5202164531919667,0.05243977482622752
A0101,PT E 30L,1516.0,3,0.5958449999661185,0.02030580598225517
A0101,PT E 30L,2274.0,4,0.5737768967352384,0.05942052352105097
A0101,PT E 30L,3032.0,3,0.6092023745314453,0.01528952024922433
A0101,PT H 0L,758.0,4,-0.20185525851400168,0.00785579537536719
A0101,PT H 0L,1516.0,4,-0.20011043652695307,0.010623302509854408
A0101,PT H 0L,2274.0,4,-0.20527751823716112,0.014773299152282902
A0101,PT H 30L,758.0,3,0.23954479935146933,0.24251893222176582
A0101,PT H 30L,3032.0,3,0.5888800490925917,0.015143445741154444
A0201,Non-PT H 0L,3310.0,3,0.2155361314734078,0.003638194169207125
A0201,PT E 0L,3310.0,4,0.3946510136717362,0.017135152395244255
A0201,PT E 0L,6620.0,4,0.40891293005659357,0.020703141553552493
A0201,PT E 30L,3310.0,4,0.5120738629904975,0.05322175460367682
A0201,PT E 30L,6620.0,3,0.5365833137006439,0.026454045197399297
A0201,PT H 0L,3310.0,4,0.06194860894283485,0.0043478283405842455
A0201,PT H 0L,6620.0,3,0.0776384718963098,0.0057424673748665495
A0201,PT H 30L,3310.0,3,0.4863743667783673,0.032477427041606534
A0205,Non-PT H 0L,104.5,3,0.15748495807293417,0.48289233895424355
A0205,Non-PT H 30L,66.0,3,0.3013045616039191,0.39872877003996815
A0205,Non-PT H 30L,104.5,3,0.5538977626594104,0.17037123673995755
A0301,Non-PT H 0L,1255.6000000000001,3,0.21712732236050572,0.03923027030227962
A0301,Non-PT H 0L,3766.7999999999997,3,0.2057490110511909,0.03623481358207646
A0301,Non-PT H 0L,5964.099999999999,3,0.20716446279087605,0.013032276885557751
A0301,Non-PT H 30L,1255.6000000000001,3,0.49471698444271395,0.03621099226101308
