group_label,train_size,median_se,q25_se,q75_se,n_hlas
Non-PT E 0L,250,0.08611447194916337,0.08611447194916337,0.08611447194916337,3
Non-PT E 0L,750,0.059321422982605246,0.048435739041064615,0.08389316092127136,9
Non-PT E 0L,1500,0.04745953552315791,0.041101163414864736,0.04745953552315791,9
Non-PT E 0L,3000,0.04326131488862002,0.04015529222558308,0.05678815886647449,10
Non-PT E 0L,5000,0.055720046526772746,0.04549522747824377,0.055720046526772746,7
Non-PT E 30L,250,0.0470641447139214,0.0470641447139214,0.0470641447139214,3
Non-PT E 30L,750,0.030910538075031704,0.025238348652899683,0.043714102165959785,9
Non-PT E 30L,1500,0.023933487279696287,0.020727007985368702,0.023933487279696287,9
Non-PT E 30L,3000,0.021076326979021474,0.0195631147842706,0.027666422250177083,10
Non-PT E 30L,5000,0.026437293560947504,0.021585959801496225,0.026437293560947504,7
Non-PT H 0L,250,0.04487085355925615,0.04487085355925615,0.04991310066545908,3
Non-PT H 0L,750,0.034601396524212215,0.02924351749198646,0.044670210831264365,9
Non-PT H 0L,1500,0.02571302424158699,0.02325830553672457,0.027272780709060366,9
Non-PT H 0L,3000,0.024974805551221637,0.023185462337108304,0.03364051470839093,10
Non-PT H 0L,5000,0.0343072736188051,0.02728303512258983,0.0343072736188051,7
Non-PT H 30L,250,0.05310380305205674,0.05310380305205674,0.05310380305205674,3
Non-PT H 30L,750,0.03826865981171169,0.03234292066262632,0.0494046273774788,9
Non-PT H 30L,1500,0.02710168247100845,0.02571091350931409,0.03319264661245092,9
Non-PT H 30L,3000,0.02720209502119741,0.024330293439122398,0.03141027376602021,9
Non-PT H 30L,5000,0.03151982685542985,0.027061252614564022,0.03587292221181049,6
PT E 0L,250,0.0266653547804027,0.0266653547804027,0.02872792715070372,3
PT E 0L,750,0.019542920068045092,0.018280727807933408,0.025852853196030402,9
PT E 0L,1500,0.01519347453060047,0.014546644376602394,0.01904602827525262,9
PT E 0L,3000,0.017281925650811356,0.015457424214924595,0.0244403336393009,9
PT E 0L,5000,0.023828834089752043,0.01726021697892025,0.03123150378138727,6
PT E 30L,250,0.028760442286030034,0.028760442286030034,0.03098507023886715,3
PT E 30L,750,0.019299850242591086,0.017262310839199792,0.027294109964841985,9
PT E 30L,1500,0.01588798699431773,0.014083195249373587,0.01863031614750439,9
PT E 30L,3000,0.016058332345423452,0.014822143361137505,0.02422564409178353,10
PT E 30L,5000,0.022076262058929177,0.015247043724476328,0.025288296912921816,7
PT H 0L,250,0.06743251566881527,0.06291539363955075,0.07501007169961486,3
PT H 0L,750,0.05833816394757717,0.04125131132930439,0.05833816394757717,9
PT H 0L,1500,0.03480195183510266,0.03332033208975772,0.040808905839995364,9
PT H 0L,3000,0.040058886981910354,0.03582975775781318,0.05665182126338864,9
PT H 0L,5000,0.05050757649430512,0.037729399947136866,0.07288565206150782,6
PT H 30L,250,0.1022093164445821,0.09704669758101071,0.10737193530815349,2
PT H 30L,750,0.07252918672680099,0.05921983297990161,0.08374949096164636,9
PT H 30L,1500,0.04782994395177237,0.04425368651146435,0.05490384667906456,8
PT H 30L,3000,0.04105882180474639,0.037139101707383645,0.05508618997887812,9
PT H 30L,5000,0.05126290997835065,0.04473601356184938,0.05126290997835065,7
