HLA,n_train_epitopes,n_eval_epitopes,n_overlaps_in_BA,Epitope Count,hla_type
HLAA0201,11108,518,21,11605,A
HLAA1101,5274,103,3,5374,A
HLAA0301,5904,218,3,6119,A
HLAA0101,3526,128,2,3652,A
HLAB4402,1689,120,2,1807,B
HLAA2402,2388,132,1,2519,A
HLAB0801,2223,53,1,2275,B
HLAB4001,2428,3,1,2430,B
HLAB3906,33,13,1,45,B
HLAB3901,1318,13,1,1330,B
HLAB0702,3395,115,1,3509,B
HLAB4403,924,11,1,934,B
HLAB1801,2142,12,1,2153,B
HLAB4013,56,0,0,56,B
HLAB4002,571,0,0,571,B
HLAB40,1,0,0,1,B
HLAB44,11,0,0,11,B
HLAB4501,499,0,0,499,B
HLAB4506,355,0,0,355,B
HLAB4601,1676,0,0,1676,B
HLAB4201,5,0,0,5,B
HLAB3909,12,0,0,12,B
HLAB51,9,0,0,9,B
HLAB39,5,0,0,5,B
HLAB3801,153,12,0,165,B
HLAB3701,30,0,0,30,B
HLAB3508,11,0,0,11,B
HLAB3503,6,0,0,6,B
HLAB3501,1609,2,0,1611,B
HLAB2720,87,0,0,87,B
HLAB2710,2,0,0,2,B
HLAB2709,14,0,0,14,B
HLAB2706,53,0,0,53,B
HLAB4801,877,0,0,877,B
HLAB5201,9,0,0,9,B
HLAB5101,2212,10,0,2222,B
HLAB2704,52,0,0,52,B
HLACw1,5,0,0,5,C
HLAC1502,181,0,0,181,C
HLAC1402,242,0,0,242,C
HLAC1203,172,0,0,172,C
HLAC0803,3,0,0,3,C
HLAC0802,87,0,0,87,C
HLAC0801,1,0,0,1,C
HLAC0702,143,0,0,143,C
HLAC0701,22,2,0,24,C
HLAC0602,221,0,0,221,C
HLAC0501,173,0,0,173,C
HLAC0401,509,0,0,509,C
HLAC0303,164,0,0,164,C
HLAC0102,0,11,0,11,C
HLAB8301,333,0,0,333,B
HLAB8,3,0,0,3,B
HLAB7301,126,0,0,126,B
HLAB7,46,0,0,46,B
HLAB62,11,0,0,11,B
HLAB60,5,0,0,5,B
HLAB5802,2,0,0,2,B
HLAB5801,2420,0,0,2420,B
HLAB58,6,0,0,6,B
HLAB5701,2271,7,0,2278,B
HLAB5501,1,0,0,1,B
HLAB5401,664,0,0,664,B
HLAB5301,1157,0,0,1157,B
HLAB2705,1934,60,0,1994,B
HLAB27,11,0,0,11,B
HLAB2703,858,0,0,858,B
HLAA3,20,0,0,20,A
HLAA2603,269,0,0,269,A
HLAA2602,399,0,0,399,A
HLAA2601,3145,17,0,3162,A
HLAA26,17,0,0,17,A
HLAA2501,912,0,0,912,A
HLAA2403,1138,0,0,1138,A
HLAA24,11,0,0,11,A
HLAA2301,1691,1,0,1692,A
HLAA2,40,59,0,99,A
HLAA1102,14,0,0,14,A
HLAA1,15,0,0,15,A
HLAA0319,29,0,0,29,A
HLAA0250,125,0,0,125,A
HLAA0219,836,0,0,836,A
HLAA0217,334,0,0,334,A
HLAA0216,604,0,0,604,A
HLAA0212,892,0,0,892,A
HLAA0211,715,0,0,715,A
HLAA0210,18,0,0,18,A
HLAA0207,64,0,0,64,A
HLAA0206,3656,2,0,3658,A
HLAA0205,106,0,0,106,A
HLAA0204,5,0,0,5,A
HLAA0203,4215,2,0,4217,A
HLAA0202,3021,0,0,3021,A
HLAA2902,1865,1,0,1866,A
HLAA3001,1350,10,0,1360,A
HLAB2702,37,0,0,37,B
HLAA3002,1320,1,0,1321,A
HLAB2701,28,0,0,28,B
HLAB1542,357,0,0,357,B
HLAB1517,1407,0,0,1407,B
HLAB1510,4,0,0,4,B
HLAB1509,412,0,0,412,B
HLAB1503,390,0,0,390,B
HLAB1502,157,0,0,157,B
HLAB1501,3506,27,0,3533,B
HLAB1402,80,6,0,86,B
HLAB1302,1,2,0,3,B
HLAB0803,203,0,0,203,B
HLAB0802,431,0,0,431,B
HLAA8001,1123,0,0,1123,A
HLAA6901,2323,0,0,2323,A
HLAA6823,80,0,0,80,A
HLAA6812,15,0,0,15,A
HLAA6802,4379,2,0,4381,A
HLAA6801,2944,39,0,2983,A
HLAA6601,52,0,0,52,A
HLAA3303,0,38,0,38,A
HLAA3301,2825,8,0,2833,A
HLAA3215,74,0,0,74,A
HLAA3207,87,0,0,87,A
HLAA3201,836,2,0,838,A
HLAA3101,4640,8,0,4648,A
HLACw4,2,0,0,2,C
