HLA,n_train_epitopes,n_eval_epitopes,n_overlaps_in_BA,Epitope Count,hla_type
HLAA0201,11108,518,21,11605,A
HLAA1101,5274,103,3,5374,A
HLAA0301,5904,218,3,6119,A
HLAA0101,3526,128,2,3652,A
HLAB4402,1689,120,2,1807,B
HLAA2402,2388,132,1,2519,A
HLAB0801,2223,53,1,2275,B
HLAB4001,2428,3,1,2430,B
HLAB3906,33,13,1,45,B
HLAB3901,1318,13,1,1330,B
HLAB0702,3395,115,1,3509,B
HLAB4403,924,11,1,934,B
HLAB1801,2142,12,1,2153,B
HLAB3801,153,12,0,165,B
HLAB3501,1609,2,0,1611,B
HLAB5101,2212,10,0,2222,B
HLAC0701,22,2,0,24,C
HLAB5701,2271,7,0,2278,B
HLAB2705,1934,60,0,1994,B
HLAA2601,3145,17,0,3162,A
HLAA2301,1691,1,0,1692,A
HLAA2,40,59,0,99,A
HLAA0206,3656,2,0,3658,A
HLAA0203,4215,2,0,4217,A
HLAA2902,1865,1,0,1866,A
HLAA3001,1350,10,0,1360,A
HLAA3002,1320,1,0,1321,A
HLAB1501,3506,27,0,3533,B
HLAB1402,80,6,0,86,B
HLAB1302,1,2,0,3,B
HLAA6802,4379,2,0,4381,A
HLAA6801,2944,39,0,2983,A
HLAA3301,2825,8,0,2833,A
HLAA3201,836,2,0,838,A
HLAA3101,4640,8,0,4648,A
