HLA,n_train_epitopes,n_eval_epitopes,n_overlap,prop_overlap_train,prop_overlap_eval,jaccard,n_union,n_train_only,n_eval_only
HLAA0201,6714,518,14,0.002085195114685731,0.02702702702702703,0.0019395954558049321,7218,6700,504
HLAA0301,553,218,2,0.003616636528028933,0.009174311926605505,0.002600780234070221,769,551,216
HLAA1101,485,103,1,0.002061855670103093,0.009708737864077669,0.0017035775127768314,587,484,102
HLAA2402,283,132,1,0.0035335689045936395,0.007575757575757576,0.0024154589371980675,414,282,131
HLAB3901,33,13,1,0.030303030303030304,0.07692307692307693,0.022222222222222223,45,32,12
HLAB3906,33,13,1,0.030303030303030304,0.07692307692307693,0.022222222222222223,45,32,12
HLAA0101,338,128,0,0.0,0.0,0.0,466,338,128
HLAA0202,2662,0,0,0.0,,0.0,2662,2662,0
HLAA0203,2652,2,0,0.0,0.0,0.0,2654,2652,2
HLAA0204,5,0,0,0.0,,0.0,5,5,0
HLAA0205,104,0,0,0.0,,0.0,104,104,0
HLAA0206,2653,2,0,0.0,0.0,0.0,2655,2653,2
HLAA0207,59,0,0,0.0,,0.0,59,59,0
HLAA0210,0,0,0,,,,0,0,0
HLAA0211,0,0,0,,,,0,0,0
HLAA0212,0,0,0,,,,0,0,0
HLAA0216,0,0,0,,,,0,0,0
HLAA0217,2,0,0,0.0,,0.0,2,2,0
HLAA0219,0,0,0,,,,0,0,0
HLAA0250,0,0,0,,,,0,0,0
HLAA0319,0,0,0,,,,0,0,0
HLAA1,15,0,0,0.0,,0.0,15,15,0
HLAA1102,14,0,0,0.0,,0.0,14,14,0
HLAA2,40,59,0,0.0,0.0,0.0,99,40,59
HLAA2301,78,1,0,0.0,0.0,0.0,79,78,1
HLAA24,11,0,0,0.0,,0.0,11,11,0
HLAA2403,41,0,0,0.0,,0.0,41,41,0
HLAA2501,0,0,0,,,,0,0,0
HLAA26,17,0,0,0.0,,0.0,17,17,0
HLAA2601,95,17,0,0.0,0.0,0.0,112,95,17
HLAA2602,0,0,0,,,,0,0,0
HLAA2603,0,0,0,,,,0,0,0
HLAA2902,116,1,0,0.0,0.0,0.0,117,116,1
HLAA3,20,0,0,0.0,,0.0,20,20,0
HLAA3001,24,10,0,0.0,0.0,0.0,34,24,10
HLAA3002,182,1,0,0.0,0.0,0.0,183,182,1
HLAA3101,299,8,0,0.0,0.0,0.0,307,299,8
HLAA3201,0,2,0,,0.0,0.0,2,0,2
HLAA3207,0,0,0,,,,0,0,0
HLAA3215,0,0,0,,,,0,0,0
HLAA3301,220,8,0,0.0,0.0,0.0,228,220,8
HLAA3303,0,38,0,,0.0,0.0,38,0,38
HLAA6601,7,0,0,0.0,,0.0,7,7,0
HLAA6801,334,39,0,0.0,0.0,0.0,373,334,39
HLAA6802,2647,2,0,0.0,0.0,0.0,2649,2647,2
HLAA6812,15,0,0,0.0,,0.0,15,15,0
HLAA6823,0,0,0,,,,0,0,0
HLAA6901,0,0,0,,,,0,0,0
HLAA8001,0,0,0,,,,0,0,0
HLAB0702,449,115,0,0.0,0.0,0.0,564,449,115
HLAB0801,96,53,0,0.0,0.0,0.0,149,96,53
HLAB0802,0,0,0,,,,0,0,0
HLAB0803,0,0,0,,,,0,0,0
HLAB1302,1,2,0,0.0,0.0,0.0,3,1,2
HLAB1402,0,6,0,,0.0,0.0,6,0,6
HLAB1501,59,27,0,0.0,0.0,0.0,86,59,27
HLAB1502,0,0,0,,,,0,0,0
HLAB1503,0,0,0,,,,0,0,0
HLAB1509,0,0,0,,,,0,0,0
HLAB1510,4,0,0,0.0,,0.0,4,4,0
HLAB1517,0,0,0,,,,0,0,0
HLAB1542,0,0,0,,,,0,0,0
HLAB1801,40,12,0,0.0,0.0,0.0,52,40,12
HLAB27,11,0,0,0.0,,0.0,11,11,0
HLAB2701,28,0,0,0.0,,0.0,28,28,0
HLAB2702,33,0,0,0.0,,0.0,33,33,0
HLAB2703,19,0,0,0.0,,0.0,19,19,0
HLAB2704,52,0,0,0.0,,0.0,52,52,0
HLAB2705,188,60,0,0.0,0.0,0.0,248,188,60
HLAB2706,53,0,0,0.0,,0.0,53,53,0
HLAB2709,14,0,0,0.0,,0.0,14,14,0
HLAB2710,2,0,0,0.0,,0.0,2,2,0
HLAB2720,0,0,0,,,,0,0,0
HLAB3501,173,2,0,0.0,0.0,0.0,175,173,2
HLAB3503,6,0,0,0.0,,0.0,6,6,0
HLAB3508,11,0,0,0.0,,0.0,11,11,0
HLAB3701,0,0,0,,,,0,0,0
HLAB3801,35,12,0,0.0,0.0,0.0,47,35,12
HLAB39,5,0,0,0.0,,0.0,5,5,0
HLAB3909,12,0,0,0.0,,0.0,12,12,0
HLAB40,1,0,0,0.0,,0.0,1,1,0
HLAB4001,88,3,0,0.0,0.0,0.0,91,88,3
HLAB4002,68,0,0,0.0,,0.0,68,68,0
HLAB4013,0,0,0,,,,0,0,0
HLAB4201,5,0,0,0.0,,0.0,5,5,0
HLAB44,10,0,0,0.0,,0.0,10,10,0
HLAB4402,61,120,0,0.0,0.0,0.0,181,61,120
HLAB4403,47,11,0,0.0,0.0,0.0,58,47,11
HLAB4501,37,0,0,0.0,,0.0,37,37,0
HLAB4506,0,0,0,,,,0,0,0
HLAB4601,5,0,0,0.0,,0.0,5,5,0
HLAB4801,0,0,0,,,,0,0,0
HLAB51,9,0,0,0.0,,0.0,9,9,0
HLAB5101,148,10,0,0.0,0.0,0.0,158,148,10
HLAB5201,7,0,0,0.0,,0.0,7,7,0
HLAB5301,131,0,0,0.0,,0.0,131,131,0
HLAB5401,124,0,0,0.0,,0.0,124,124,0
HLAB5501,1,0,0,0.0,,0.0,1,1,0
HLAB5701,42,7,0,0.0,0.0,0.0,49,42,7
HLAB58,6,0,0,0.0,,0.0,6,6,0
HLAB5801,78,0,0,0.0,,0.0,78,78,0
HLAB5802,2,0,0,0.0,,0.0,2,2,0
HLAB60,5,0,0,0.0,,0.0,5,5,0
HLAB62,11,0,0,0.0,,0.0,11,11,0
HLAB7,46,0,0,0.0,,0.0,46,46,0
HLAB7301,0,0,0,,,,0,0,0
HLAB8,3,0,0,0.0,,0.0,3,3,0
HLAB8301,0,0,0,,,,0,0,0
HLAC*05:01,1,0,0,0.0,,0.0,1,1,0
HLAC*05:01,1,0,0,0.0,,0.0,1,1,0
HLAC0102,0,11,0,,0.0,0.0,11,0,11
HLAC0303,1,0,0,0.0,,0.0,1,1,0
HLAC0401,0,0,0,,,,0,0,0
HLAC0501,1,0,0,0.0,,0.0,1,1,0
HLAC0602,7,0,0,0.0,,0.0,7,7,0
