Allele,N,Stacking_RF_GB_MSE_Val,Stacking_RF_GB_MSE_Test,Stacking_RF_GB_R2_Test,Stacking_RF_GB_Spearman,Stacking_RF_GB_Pearson,Stacking_RF_ADA_MSE_Val,Stacking_RF_ADA_MSE_Test,Stacking_RF_ADA_R2_Test,Stacking_RF_ADA_Spearman,Stacking_RF_ADA_Pearson,Stacking_ALL_MSE_Val,Stacking_ALL_MSE_Test,Stacking_ALL_R2_Test,Stacking_ALL_Spearman,Stacking_ALL_Pearson
HLAB3801,11,0.1,0.402,0.65,1.0,0.969,0.071,0.374,0.674,1.0,0.949,0.1,0.4,0.652,1.0,0.969
HLAB2705,58,0.433,0.392,0.754,0.643,0.869,0.709,0.502,0.685,0.678,0.853,0.708,0.501,0.686,0.678,0.854
HLAB1501,21,1.828,1.292,-2.277,0.6,0.446,0.73,1.121,-1.843,0.0,0.302,1.929,1.216,-2.084,0.6,0.552
HLAA1101,99,0.519,0.503,0.686,0.881,0.833,0.544,0.669,0.583,0.786,0.774,0.55,0.701,0.563,0.77,0.765
HLAB1801,11,8.682,1.143,-6.956,-1.0,-0.697,6.438,0.844,-4.87,-1.0,-0.728,2.413,0.354,-1.463,-1.0,-0.92
HLAB0801,51,0.559,0.723,0.216,0.551,0.575,0.506,0.708,0.233,0.346,0.534,0.508,0.708,0.233,0.346,0.536
HLAB3906,11,0.05,0.571,-0.018,0.5,-0.065,0.688,1.227,-1.189,0.5,0.685,0.834,5.08,-8.061,0.5,0.659
HLAA6801,39,0.762,0.28,0.808,0.833,0.964,0.593,0.378,0.741,0.69,0.945,0.613,0.37,0.746,0.595,0.947
HLAB3901,11,1.849,0.964,-2.338,0.5,0.431,1.505,0.959,-2.321,0.5,0.292,1.808,0.963,-2.334,0.5,0.416
HLAA2601,15,1.362,0.712,0.629,1.0,0.971,0.776,1.629,0.15,0.5,0.864,0.833,1.839,0.041,0.5,0.947
HLAB0702,107,2.261,1.115,0.634,0.663,0.803,2.498,1.026,0.663,0.691,0.821,2.444,1.038,0.659,0.66,0.818
HLAB4402,116,0.821,1.223,0.251,0.526,0.518,0.806,1.166,0.286,0.541,0.55,0.807,1.279,0.217,0.518,0.497
HLAA0101,125,1.179,1.193,0.629,0.669,0.8,1.255,1.21,0.624,0.656,0.798,1.252,1.21,0.624,0.647,0.798
HLAA0301,211,1.68,2.063,0.189,0.512,0.486,1.71,2.037,0.198,0.556,0.497,1.676,2.064,0.188,0.515,0.486
HLAA2402,130,1.737,2.704,-0.068,0.119,0.136,1.653,2.695,-0.065,0.054,0.078,1.801,2.73,-0.079,0.003,0.084
