,File,HLA,Avg_Token_NLL,model_path
786,ESMMASK_epitope_FT_15_0.001_1e-06_AUG_6_HLAB2703_2_per_token_metrics.csv,B2703,4.410753263073275e-06,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB2703/ESMMASK_epitope_FT_15_0.001_1e-06_AUG_6_HLAB2703_2.pt
1135,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_1_HLAA0201_1_per_token_metrics.csv,A0201,2.4580644147489035,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA0201/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_1_HLAA0201_1.pt
1607,ESMMASK_epitope_FT_20_0.001_1e-06_AUG_6_HLAA1101_1_per_token_metrics.csv,A1101,3.0825121369450486,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA1101/ESMMASK_epitope_FT_20_0.001_1e-06_AUG_6_HLAA1101_1.pt
1134,ESMMASK_epitope_FT_25_0.001_1e-06_AUG_3_HLAA0201_2_per_token_metrics.csv,A0201,3.5571029501793086,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA0201/ESMMASK_epitope_FT_25_0.001_1e-06_AUG_3_HLAA0201_2.pt
31,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_3_HLAA3101_2_per_token_metrics.csv,A3101,3.8005630278209566,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA3101/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_3_HLAA3101_2.pt
1609,ESMMASK_epitope_FT_20_0.001_5e-05_AUG_3_HLAA1101_2_per_token_metrics.csv,A1101,3.843557553618195,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA1101/ESMMASK_epitope_FT_20_0.001_5e-05_AUG_3_HLAA1101_2.pt
1133,ESMMASK_epitope_FT_20_0.001_1e-06_AUG_3_HLAA0201_2_per_token_metrics.csv,A0201,3.947813235733003,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA0201/ESMMASK_epitope_FT_20_0.001_1e-06_AUG_3_HLAA0201_2.pt
33,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_6_HLAA3101_2_per_token_metrics.csv,A3101,4.5768317300298795,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA3101/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_6_HLAA3101_2.pt
1136,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_1_HLAA0201_2_per_token_metrics.csv,A0201,4.6166443804373944,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA0201/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_1_HLAA0201_2.pt
1446,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_6_HLAA3002_2_per_token_metrics.csv,A3002,4.631337092302102,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA3002/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_6_HLAA3002_2.pt
1600,ESMMASK_epitope_FT_20_0.001_1e-06_AUG_6_HLAA0301_2_per_token_metrics.csv,A0301,4.659470079363121,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA0301/ESMMASK_epitope_FT_20_0.001_1e-06_AUG_6_HLAA0301_2.pt
863,ESMMASK_epitope_FT_20_0.001_5e-05_AUG_1_HLAB0702_1_per_token_metrics.csv,B0702,4.781823316722397,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB0702/ESMMASK_epitope_FT_20_0.001_5e-05_AUG_1_HLAB0702_1.pt
1287,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_3_HLAA0203_1_per_token_metrics.csv,A0203,4.796282277227683,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA0203/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_3_HLAA0203_1.pt
1601,ESMMASK_epitope_FT_20_0.001_5e-05_AUG_3_HLAA0301_1_per_token_metrics.csv,A0301,4.8124923276188065,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA0301/ESMMASK_epitope_FT_20_0.001_5e-05_AUG_3_HLAA0301_1.pt
