File,HLA,Avg_Token_NLL,model_path,Encoding,Model
ESMMASK_HLA_FT_15_0.0001_5e-05_AUG_4_A0219_1_per_token_metrics.csv,A0219,1.9011927807204263,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA0219/ESMMASK_HLA_FT_15_0.0001_5e-05_AUG_4_A0219_1.pt,HLA,A0219+HLA
ESMMASK_epitope_FT_15_0.001_1e-05_AUG_3_B2701_1_per_token_metrics.csv,B2701,1.9247894433430996,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB2701/ESMMASK_epitope_FT_15_0.001_1e-05_AUG_3_B2701_1.pt,epitope,B2701+epitope
ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_B4001_2_per_token_metrics.csv,B4001,1.9659310805178203,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB4001/ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_B4001_2.pt,epitope,B4001+epitope
ESMMASK_HLA_FT_25_0.001_5e-05_AUG_4_B4402_1_per_token_metrics.csv,B4402,2.0260999437990748,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB4402/ESMMASK_HLA_FT_25_0.001_5e-05_AUG_4_B4402_1.pt,HLA,B4402+HLA
ESMMASK_HLA_FT_25_0.001_5e-05_AUG_3_C1502_2_per_token_metrics.csv,C1502,2.0270732107868934,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAC1502/ESMMASK_HLA_FT_25_0.001_5e-05_AUG_3_C1502_2.pt,HLA,C1502+HLA
ESMMASK_HLA_FT_25_0.0001_5e-05_AUG_3_B5501_2_per_token_metrics.csv,B5501,2.02991236364585,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB5501/ESMMASK_HLA_FT_25_0.0001_5e-05_AUG_3_B5501_2.pt,HLA,B5501+HLA
ESMMASK_HLA_FT_20_0.0001_1e-05_AUG_4_A0217_1_per_token_metrics.csv,A0217,2.0304150154076592,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA0217/ESMMASK_HLA_FT_20_0.0001_1e-05_AUG_4_A0217_1.pt,HLA,A0217+HLA
ESMMASK_epitope_FT_20_0.001_1e-06_AUG_3_B4002_1_per_token_metrics.csv,B4002,2.031062892591703,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB4002/ESMMASK_epitope_FT_20_0.001_1e-06_AUG_3_B4002_1.pt,epitope,B4002+epitope
ESMMASK_HLA_FT_15_0.0001_1e-06_AUG_4_B3801_2_per_token_metrics.csv,B3801,2.0420461955432443,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB3801/ESMMASK_HLA_FT_15_0.0001_1e-06_AUG_4_B3801_2.pt,HLA,B3801+HLA
ESMMASK_HLA_FT_25_0.001_1e-05_AUG_4_B4403_2_per_token_metrics.csv,B4403,2.042102510962094,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB4403/ESMMASK_HLA_FT_25_0.001_1e-05_AUG_4_B4403_2.pt,HLA,B4403+HLA
ESMMASK_HLA_FT_15_0.0001_1e-06_AUG_1_B4001_2_per_token_metrics.csv,B4001,2.0555380972031925,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB4001/ESMMASK_HLA_FT_15_0.0001_1e-06_AUG_1_B4001_2.pt,HLA,B4001+HLA
ESMMASK_HLA_FT_15_0.0001_5e-05_AUG_4_B1510_1_per_token_metrics.csv,B1510,2.0588457202569113,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB1510/ESMMASK_HLA_FT_15_0.0001_5e-05_AUG_4_B1510_1.pt,HLA,B1510+HLA
ESMMASK_HLA_FT_20_0.0001_1e-05_AUG_4_B2701_2_per_token_metrics.csv,B2701,2.0592620275484705,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB2701/ESMMASK_HLA_FT_20_0.0001_1e-05_AUG_4_B2701_2.pt,HLA,B2701+HLA
ESMMASK_HLA_FT_15_0.0001_5e-05_AUG_4_B2702_1_per_token_metrics.csv,B2702,2.0704707059977037,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB2702/ESMMASK_HLA_FT_15_0.0001_5e-05_AUG_4_B2702_1.pt,HLA,B2702+HLA
ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_B4201_1_per_token_metrics.csv,B4201,2.074363787383892,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB4201/ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_B4201_1.pt,epitope,B4201+epitope
