HLA,spearman,pearsonr,mse,test_size,path,training_data,encoding,Model
A0101,0.64,0.7,2.5,126,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_15_0.0001_5e-05_AUG_1_A0101_1_0.0001_0.0001__1_A0101_0404_Hubber_A0101.csv,3790,HLA,A0101 HLA
A0101,0.6,0.63,2.5,126,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.95_30_ESMMASK_epitope_FT_25_0.0001_1e-05_AUG_3_A0101_2_0.0001_0.0001__1_A0101_0404_Hubber_A0101.csv,3790,epitope,A0101 epitope
A0201,0.52,0.51,1.8,472,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_20_0.0001_5e-05_AUG_1_A0201_1_0.0001_0.0001__1_A0201_0404_Hubber_A0201.csv,16550,HLA,A0201 HLA
A0201,0.57,0.57,1.7,472,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.95_30_ESMMASK_epitope_FT_15_0.001_1e-05_AUG_3_A0201_2_0.0001_0.0001__1_A0201_0404_Hubber_A0201.csv,16550,epitope,A0201 epitope
A0301,0.57,0.51,2.3,220,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.8_30_ESMMASK_HLA_FT_15_0.001_1e-05_AUG_3_A0301_2_0.0001_0.0001__1_A0301_0404_Hubber_A0301.csv,6278,HLA,A0301 HLA
A0301,0.6,0.56,2.2,220,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.85_30_ESMMASK_epitope_FT_25_0.0001_1e-05_AUG_3_A0301_1_0.0001_0.0001__1_A0301_0404_Hubber_A0301.csv,6278,epitope,A0301 epitope
A1101,0.78,0.75,0.83,107,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.85_30_ESMMASK_HLA_FT_25_0.001_1e-06_AUG_4_A1101_1_0.0001_0.0001__1_A1101_0404_Hubber_A1101.csv,5717,HLA,A1101 HLA
A1101,0.78,0.77,0.77,107,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.95_30_ESMMASK_epitope_FT_25_0.001_1e-05_AUG_4_A1101_1_0.0001_0.0001__1_A1101_0404_Hubber_A1101.csv,5717,epitope,A1101 epitope
A2402,0.32,0.27,2.6,131,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.85_30_ESMMASK_HLA_FT_15_0.001_5e-05_AUG_1_A2402_2_0.0001_0.0001__1_A2402_0404_Hubber_A2402.csv,2477,HLA,A2402 HLA
A2402,0.36,0.33,2.4,131,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.8_30_ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_A2402_1_0.0001_0.0001__1_A2402_0404_Hubber_A2402.csv,2477,epitope,A2402 epitope
A2601,0.4,0.26,2.0,15,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_25_0.0001_5e-05_AUG_1_A2601_1_0.0001_0.0001__1_A2601_0404_Hubber_A2601.csv,3326,HLA,A2601 HLA
A2601,0.64,0.71,1.2,15,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.8_30_ESMMASK_epitope_FT_20_0.0001_1e-06_AUG_4_A2601_1_0.0001_0.0001__1_A2601_0404_Hubber_A2601.csv,3326,epitope,A2601 epitope
A3001,0.31,0.3,1.1,10,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_15_0.001_1e-05_AUG_3_A3001_2_0.0001_0.0001__1_A3001_0404_Hubber_A3001.csv,1350,HLA,A3001 HLA
A3001,0.5,0.57,1.1,10,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.8_30_ESMMASK_epitope_FT_25_0.001_1e-06_AUG_3_A3001_1_0.0001_0.0001__1_A3001_0404_Hubber_A3001.csv,1350,epitope,A3001 epitope
A3101,0.76,0.8,0.61,8,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.85_30_ESMMASK_HLA_FT_20_0.0001_1e-05_AUG_3_A3101_2_0.0001_0.0001__1_A3101_0404_Hubber_A3101.csv,4876,HLA,A3101 HLA
A3101,0.83,0.94,0.37,8,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.85_30_ESMMASK_epitope_FT_20_0.0001_1e-05_AUG_4_A3101_2_0.0001_0.0001__1_A3101_0404_Hubber_A3101.csv,4876,epitope,A3101 epitope
A3301,0.75,0.98,0.29,8,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_20_0.0001_5e-05_AUG_4_A3301_1_0.0001_0.0001__1_A3301_0404_Hubber_A3301.csv,2937,HLA,A3301 HLA
A3301,0.63,0.91,0.44,8,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.95_30_ESMMASK_epitope_FT_15_0.001_1e-06_AUG_4_A3301_2_0.0001_0.0001__1_A3301_0404_Hubber_A3301.csv,2937,epitope,A3301 epitope
