,A0201,A0201,A0201,A0201,A0201,A0201,A0201,A0201,A0201,B5701,B5701,B5701,B5701,B5701,B5701,B5701,B5701,B5701,B5101,B5101,B5101,B5101,B5101,B5101,B5101,B5101,B5101,C0401,C0401,C0401,C0401,C0401,C0401,C0401,C0401,C0401
,P1,P2,P3,P4,P5,P6,P7,P8,P9,P1,P2,P3,P4,P5,P6,P7,P8,P9,P1,P2,P3,P4,P5,P6,P7,P8,P9,P1,P2,P3,P4,P5,P6,P7,P8,P9
A,10.789769533445757,3.4851039910061834,10.157391793142216,6.3603147835862845,6.767847105115234,5.370994940978078,7.962338392355256,7.9792017987633495,8.622821810005622,5.796485260770975,15.632086167800455,6.717687074829932,5.045351473922902,4.691043083900227,5.2437641723356005,5.796485260770975,3.826530612244898,0.3401360544217687,2.502453385672228,31.08439646712463,8.709519136408243,6.648675171736997,6.440137389597645,6.943081452404318,5.605986261040235,5.986261040235525,1.5947006869479883,5.939101597829364,3.858908652396744,3.165511003919204,5.818510702441966,8.592101296352125,5.999397045523063,10.220078384082,7.3560446186312936,1.236056677720832
C,0.4356379988757729,0.2360876897133221,0.6548622821810006,0.7054525014052838,0.7223159078133783,0.9134345137717819,0.6127037661607645,0.6492411467116358,0.6520517144463182,0.32596371882086167,0.8219954648526077,1.0629251700680271,0.2834467120181406,0.7653061224489796,0.949546485260771,0.6802721088435374,1.034580498866213,0.1984126984126984,0.14720314033366044,0.07360157016683022,0.09813542688910697,0.2208047105004907,0.15947006869479882,0.17173699705593717,0.12266928361138371,0.2208047105004907,0.04906771344455348,0.06029544769369913,0.030147723846849564,0.0,0.2411817907747965,0.3617726861621947,0.3617726861621947,0.27132951462164606,0.39192041000904426,0.030147723846849564
D,1.1186059584035977,0.6689151208544125,7.6335019673974145,12.532321528948847,4.297358066329399,2.726250702641934,2.478920741989882,1.661045531197302,0.2641933670601461,0.6235827664399093,0.6802721088435374,7.879818594104308,6.845238095238096,4.761904761904762,3.0328798185941044,2.86281179138322,1.8849206349206349,0.12755102040816327,18.694798822374878,1.030421982335623,3.0544651619234546,6.881746810598625,3.4960745829244355,2.0363101079489696,1.7051030421982336,0.8218842001962708,0.17173699705593717,1.718420259270425,0.21103406692794696,51.73349412119384,9.64727163099186,3.255954175459753,3.949351823937293,2.7434428700633102,2.08019294543262,0.09044317154054868
E,1.7003934794828555,1.2900505902192243,2.5407532321528947,15.713884204609332,6.427768409218662,3.993816750983699,6.441821247892074,9.33389544688027,0.3709949409780776,1.3180272108843538,0.6094104308390023,2.054988662131519,8.871882086167801,5.768140589569161,5.314625850340136,7.412131519274376,7.015306122448979,0.41099773242630383,4.857703631010795,0.662414131501472,2.2571148184494603,9.948478900883218,4.330225711481845,3.7536800785083417,4.121687929342492,7.065750736015702,0.23307163886162907,2.200783840820018,2.1103406692794695,8.29062405788363,14.018691588785046,3.949351823937293,5.908953873982514,6.3611697316852585,10.762737413325294,0.06029544769369913
F,8.06070826306914,0.983698707138842,5.691399662731872,1.736930860033727,4.7442383361439004,3.8673412029229906,5.632377740303542,3.993816750983699,2.700955593029792,4.081632653061225,3.7273242630385486,7.227891156462585,2.806122448979592,5.073696145124717,4.733560090702948,5.569727891156463,5.428004535147393,26.147959183673468,4.943572129538763,0.5029440628066731,8.96712463199215,2.0853778213935232,4.636898920510305,5.2747791952895,2.3061825318940135,2.2571148184494603,2.9931305201177625,10.3406692794694,28.91166716912873,2.6831474223696112,2.562556526982213,4.341272233946337,5.155260777811275,2.8640337654507086,5.064817606270727,23.756406391317455
G,5.9949409780775715,1.2563237774030354,3.850477796514896,7.740303541315345,6.3041034288926365,3.3783024170882516,1.5682967959527825,5.556492411467116,0.5424395727937044,3.160430839002268,3.202947845804989,2.820294784580499,5.300453514739229,4.903628117913832,4.15249433106576,1.899092970521542,3.486394557823129,0.5527210884353742,1.4474975466143278,5.49558390578999,2.146712463199215,7.090284592737979,7.764965652600589,5.753189401373896,2.0976447497546613,2.6251226692836114,0.45387634936211974,2.3213747362074164,1.2963521254145314,2.3213747362074164,6.511908350919506,6.089840217063611,6.4214651793789574,3.105215556225505,3.0449201085318056,1.0551703346397348
H,2.4311410905002813,0.35413153456998314,2.653175941540191,2.554806070826307,3.9825744800449687,1.6301292861157952,5.845980888139405,3.4794828555368182,0.2782462057335582,3.6564625850340136,0.2834467120181406,2.465986394557823,2.366780045351474,3.5572562358276647,3.5572562358276647,5.541383219954649,3.939909297052154,0.1984126984126984,3.643277723258096,0.18400392541707558,4.232090284592738,2.9440628066732093,4.281157998037291,2.747791952894995,4.882237487733072,3.4224730127576057,0.04906771344455348,4.88393126318963,0.6331022007838408,0.6331022007838408,2.351522460054266,4.069942719324691,2.5927042508290628,4.85378353934278,4.039794995477841,0.06029544769369913
I,5.902192242833052,7.878021360314784,6.807195053400787,2.4367622259696455,6.228218100056211,11.107363687464868,6.65823496346262,2.2596964586846546,9.4406970207982,8.574263038548754,2.7777777777777777,5.017006802721088,3.798185941043084,8.715986394557824,7.922335600907029,4.265873015873016,2.7210884353741496,4.223356009070295,6.391069676153091,1.5088321884200195,4.1707556427870465,3.348871442590775,4.931305201177625,10.02208047105005,6.121197252208047,3.4470068694798823,33.96712463199215,8.079589990955682,1.929454326198372,2.6831474223696112,2.6529996985227613,6.21043111245101,8.441362677117878,5.125113053964426,3.4971359662345494,8.350919505577329
K,9.176503653738056,0.3681843732433952,2.5098369870713886,5.688589094997189,7.411467116357503,2.8274311410905004,3.3754918493535695,7.523889825744801,0.7672849915682968,17.587868480725625,0.4251700680272109,10.388321995464853,9.77891156462585,5.144557823129252,4.931972789115646,6.1933106575963714,6.986961451247166,0.467687074829932,1.422963689892051,0.6746810598626104,4.133954857703631,5.9739941118743864,6.6854759568204125,4.330225711481845,5.851324828263003,8.611383709519137,0.31894013738959764,5.456738016279771,0.030147723846849564,0.5728067530901417,4.009647271630992,5.456738016279771,3.6780223093156468,3.075067832378655,6.21043111245101,1.0853180584865842
L,9.482855536818438,54.09218662169758,15.399100618324901,4.8201236649803265,10.193929173693087,18.642495784148398,10.337268128161888,9.010680157391793,34.654300168634066,12.103174603174603,5.3854875283446715,14.583333333333334,8.319160997732427,14.909297052154194,14.143990929705216,9.11281179138322,14.795918367346939,10.742630385487528,15.947006869479882,2.342983316977429,11.37144259077527,7.482826300294406,6.108930323846909,9.923945044160941,12.929342492639842,9.11432777232581,12.328263002944064,7.808260476334036,9.195055773289116,3.135363280072354,8.29062405788363,7.62737413325294,9.496533011757611,6.662646970153753,10.220078384082,40.12662044015677
M,1.8774592467678473,6.200112422709387,3.7633501967397414,0.8066329398538505,1.2759977515458123,1.5739179314221474,1.5373805508712761,1.2647554806070826,1.5120854412591345,3.1320861678004532,1.006235827664399,2.6218820861678003,1.0204081632653061,1.8140589569160999,1.7573696145124718,1.2755102040816326,2.1541950113378685,2.508503401360544,4.882237487733072,0.9077526987242395,2.551521099116781,1.2634936211972523,1.2266928361138372,2.220314033366045,1.8891069676153092,1.3493621197252208,1.8400392541707555,3.4669882423876994,2.441965631594815,2.291227012360567,1.0853180584865842,2.1706361169731685,1.6279770877298765,1.0551703346397348,1.7787157069641242,8.26047633403678
N,2.740303541315346,0.491849353569421,3.8813940415964026,4.747048903878583,3.7914558740865654,3.996627318718381,3.4232715008431702,4.0331646992692525,0.33445756042720626,1.3038548752834467,0.4251700680272109,3.4013605442176873,3.458049886621315,3.2171201814058956,3.599773242630386,3.6139455782312924,4.407596371882086,0.08503401360544217,4.232090284592738,0.2208047105004907,4.097154072620216,3.103532875368008,3.741413150147203,2.4165848871442592,4.808635917566241,3.962217860647694,0.14720314033366044,4.85378353934278,0.2411817907747965,2.2309315646668675,4.612601748567982,4.341272233946337,3.0449201085318056,5.818510702441966,3.406692794694001,0.0
